unit_id,unit_name,parent_code,parent_name,yyyymm,year,month,viirs_supported_flag,ba2012_supported_flag,viirs_det_primary,modis_ba_any_ba2012,observation_state,viirs_positive,mismatch_y
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201608,2016,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201609,2016,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201610,2016,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201611,2016,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201612,2016,12,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201701,2017,1,1,1,3.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201702,2017,2,1,1,3.0,1.0,both_positive,1,0
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201703,2017,3,1,1,10.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201704,2017,4,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201705,2017,5,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201706,2017,6,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201707,2017,7,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201708,2017,8,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201709,2017,9,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201710,2017,10,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201711,2017,11,1,1,0.0,0.0,both_zero,0,
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201712,2017,12,1,1,1.0,0.0,viirs_positive_mcd64a1_zero,1,1
Abuakwa_North,ABUAKWA NORTH,FZ,FOREST ZONE,201801,2018,1,1,1,1.0,1.0,both_positive,1,0
