parent_code,parent_name,unit_id,year,annual_rate,annual_ba_km2,fixed_burnable_km2,n,sen_slope,u_n,long_run_variance,variance_floor,variance_floor_used,t_n,realised_bandwidth,bandwidth_rule,permutation_count,seed,extreme_count,raw_p,bh_q,bh_rejected,bh_alpha,effect_method_id,method_id,implementation_id,empirical_cdf,studentisation,alternative,p_value_method
CZ,COASTAL ZONE,coastal_zone,2024,1.9287228840330901,246.64627332812472,12788.061746453212,24,-0.1647449475437067,-0.26811594202898553,0.7199074074074074,0.001,False,-1.5480676576325814,2,floor_n_power_one_third,9999,20260822,2321,0.2322,0.29025,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2001,12.171021970761553,7289.680532593733,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2002,8.315693144491727,4980.5798211562615,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2003,10.061882060129,6026.43771009371,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2004,12.771195005288746,7649.146623156285,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2005,14.398825021692682,8623.99515053123,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2006,12.210534136683007,7313.34584742187,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2007,10.098999052101089,6048.668465609342,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2008,11.699503614708426,7007.27054359377,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2009,11.560015840088004,6923.726095343819,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2010,10.308479608355956,6174.134210109387,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2011,11.598476835389704,6946.761824749985,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2012,9.603696860416143,5752.013447390618,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2013,10.691051231882826,6403.270672359328,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2014,8.17334781169243,4895.323874375017,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
FZ,FOREST ZONE,forest_zone,2015,14.663303199662085,8782.401028843746,59893.742284795255,24,-0.0531408764429661,-0.08695652173913043,0.30246913580246915,0.001,False,-0.7745817276084419,2,floor_n_power_one_third,9999,20260822,5740,0.5741,0.5741,False,0.05,sens_slope,studentized_global_mann_kendall_permutation,trend.romano_tirlea_studentized_global_mk.v1,less_than_or_equal_ecdf,recompute_for_each_permutation,two_sided_absolute,monte_carlo_plus_one
