unit_id,unit_code,unit_name,year,annual_ba_km2,fixed_burnable_km2,annual_rate
coastal_zone,CZ,COASTAL ZONE,2022,666.8431297656267,12788.061746453212,5.2145754609808375
coastal_zone,CZ,COASTAL ZONE,2023,185.5156215,12788.061746453212,1.4506938203629887
coastal_zone,CZ,COASTAL ZONE,2024,246.64627332812472,12788.061746453212,1.9287228840330901
forest_zone,FZ,FOREST ZONE,2001,7289.680532593733,59893.742284795255,12.171021970761553
forest_zone,FZ,FOREST ZONE,2002,4980.5798211562615,59893.742284795255,8.315693144491727
forest_zone,FZ,FOREST ZONE,2003,6026.43771009371,59893.742284795255,10.061882060129
forest_zone,FZ,FOREST ZONE,2004,7649.146623156285,59893.742284795255,12.771195005288746
forest_zone,FZ,FOREST ZONE,2005,8623.99515053123,59893.742284795255,14.398825021692682
forest_zone,FZ,FOREST ZONE,2006,7313.34584742187,59893.742284795255,12.210534136683007
forest_zone,FZ,FOREST ZONE,2007,6048.668465609342,59893.742284795255,10.098999052101089
forest_zone,FZ,FOREST ZONE,2008,7007.27054359377,59893.742284795255,11.699503614708426
forest_zone,FZ,FOREST ZONE,2009,6923.726095343819,59893.742284795255,11.560015840088004
forest_zone,FZ,FOREST ZONE,2010,6174.134210109387,59893.742284795255,10.308479608355956
forest_zone,FZ,FOREST ZONE,2011,6946.761824749985,59893.742284795255,11.598476835389704
forest_zone,FZ,FOREST ZONE,2012,5752.013447390618,59893.742284795255,9.603696860416143
forest_zone,FZ,FOREST ZONE,2013,6403.270672359328,59893.742284795255,10.691051231882826
forest_zone,FZ,FOREST ZONE,2014,4895.323874375017,59893.742284795255,8.17334781169243
forest_zone,FZ,FOREST ZONE,2015,8782.401028843746,59893.742284795255,14.663303199662085
forest_zone,FZ,FOREST ZONE,2016,7125.678406609428,59893.742284795255,11.897200166132158
forest_zone,FZ,FOREST ZONE,2017,3965.5578580312504,59893.742284795255,6.620988615429954
forest_zone,FZ,FOREST ZONE,2018,6915.371434328168,59893.742284795255,11.546066701668963
forest_zone,FZ,FOREST ZONE,2019,3084.50720029687,59893.742284795255,5.149965727020382
forest_zone,FZ,FOREST ZONE,2020,8736.881314078148,59893.742284795255,14.587302413888589
forest_zone,FZ,FOREST ZONE,2021,4106.604335203156,59893.742284795255,6.856483129199403
forest_zone,FZ,FOREST ZONE,2022,9085.928283859366,59893.742284795255,15.170079439444109
forest_zone,FZ,FOREST ZONE,2023,3933.485945250027,59893.742284795255,6.5674405959578674
forest_zone,FZ,FOREST ZONE,2024,8047.187578859403,59893.742284795255,13.435773541407645
guinea_savannah,GS,GUINEA SAVANNAH,2001,41126.621061765094,86228.7045734392,47.69481492875543
guinea_savannah,GS,GUINEA SAVANNAH,2002,39738.278096858805,86228.7045734392,46.08474439392109
guinea_savannah,GS,GUINEA SAVANNAH,2003,42269.376153218196,86228.7045734392,49.020075579609625
guinea_savannah,GS,GUINEA SAVANNAH,2004,26900.1747919688,86228.7045734392,31.196310932699305
guinea_savannah,GS,GUINEA SAVANNAH,2005,50759.042355124446,86228.7045734392,58.86559772203701
guinea_savannah,GS,GUINEA SAVANNAH,2006,41301.97552067114,86228.7045734392,47.89817465655547
guinea_savannah,GS,GUINEA SAVANNAH,2007,36323.648976780765,86228.7045734392,42.124776379824496
guinea_savannah,GS,GUINEA SAVANNAH,2008,35295.132782389854,86228.7045734392,40.93199933478036
guinea_savannah,GS,GUINEA SAVANNAH,2009,28127.90240295283,86228.7045734392,32.620114777436875
guinea_savannah,GS,GUINEA SAVANNAH,2010,30432.509046093546,86228.7045734392,35.29278237060237
guinea_savannah,GS,GUINEA SAVANNAH,2011,45894.21617662437,86228.7045734392,53.22382657104308
guinea_savannah,GS,GUINEA SAVANNAH,2012,32140.25765390572,86228.7045734392,37.27326974572897
guinea_savannah,GS,GUINEA SAVANNAH,2013,38376.70689878077,86228.7045734392,44.50572125445318
guinea_savannah,GS,GUINEA SAVANNAH,2014,35199.23873990566,86228.7045734392,40.820790378367796
guinea_savannah,GS,GUINEA SAVANNAH,2015,35426.75949995254,86228.7045734392,41.08464771122741
guinea_savannah,GS,GUINEA SAVANNAH,2016,34809.454141265145,86228.7045734392,40.368754596816025
guinea_savannah,GS,GUINEA SAVANNAH,2017,38218.9448207028,86228.7045734392,44.32276352725735
