panel,record_type,unit_id,unit_name,parent_code,state,proportion,value,term,adjusted_or,or_lower_95,or_upper_95,p,support_status,exclusion_reasons
mismatch_geography,district_viirs_only_share,Jirapa,JIRAPA,GS,,,0.44705882352941179,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Jomoro,JOMORO,CZ,,,0.967741935483871,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Juaben_Municipal,JUABEN MUNICIPAL,FZ,,,0.97435897435897434,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Juaboso,JUABOSO,FZ,,,0.93421052631578949,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kadjebi,KADJEBI,GS,,,0.69230769230769229,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Karaga,KARAGA,GS,,,0.24444444444444444,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kasena_Nankana_East,KASENA NANKANA EAST,SS,,,0.375,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kasena_Nankana_West,KASENA NANKANA WEST,SS,,,0.34065934065934067,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Keta_Municipal,KETA MUNICIPAL,CZ,,,0.8392857142857143,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ketu_North,KETU NORTH,CZ,,,0.69473684210526321,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Ketu_South,KETU SOUTH,CZ,,,0.90410958904109584,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kintampo_North_Municipal,KINTAMPO NORTH MUNICIPAL,GS,,,0.5078125,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kintampo_South,KINTAMPO SOUTH,TZ,,,0.63698630136986301,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Komenda_Edina_Eguafo_Abirem_Municipal,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,CZ,,,0.94827586206896552,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Korle_Klottey_Municipal,KORLE KLOTTEY MUNICIPAL,CZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Kpandai,KPANDAI,GS,,,0.43564356435643564,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kpando_Municipal,KPANDO MUNICIPAL,FZ,,,0.64356435643564358,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kpone_Katamanso,KPONE KATAMANSO,CZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Krachi_East_Municipal,KRACHI EAST MUNICIPAL,GS,,,0.49572649572649574,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Krachi_Nchumuru,KRACHI NCHUMURU,GS,,,0.51428571428571423,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Krachi_West,KRACHI WEST,GS,,,0.55913978494623651,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Krowor_Municipal,KROWOR MUNICIPAL,CZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Kumasi_Metropolitan,KUMASI METROPOLITAN,FZ,,,,,,,,,excluded,primary_denominator_zero_or_nonpositive
mismatch_geography,district_viirs_only_share,Kumbungu,KUMBUNGU,GS,,,0.34042553191489361,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwabre_East,KWABRE EAST,FZ,,,0.98275862068965514,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwadaso_Municipal,KWADASO MUNICIPAL,FZ,,,1,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwaebibirem,KWAEBIBIREM,FZ,,,0.94444444444444442,,,,,,valid_nonzero,
mismatch_geography,district_viirs_only_share,Kwahu_Afram_Plains_North,KWAHU AFRAM PLAINS NORTH,FZ,,,0.49593495934959347,,,,,,valid_nonzero,
